product,tier,spread_target,regime,estimator,n_events,r2_cv,r2_insample,rmse_bbl,hit_rate,hit_sig,n_sig,oos_hit_rate,oos_n,oos_rmse
CL,tier1_baseline,fly123,ALL_REGIMES,OLS,184,-0.0027,0.0027,0.0697,0.5489,0.5595,168,0.6,10,0.9017
CL,tier1_baseline,fly123,Deep-Backwardation,OLS,50,0.0312,0.051,0.1102,0.58,0.587,46,0.5556,9,0.9411
CL,tier1_baseline,fly123,Easing-Backwardation,OLS,44,0.0286,0.0512,0.0663,0.5909,0.5952,42,1,1,0.4014
CL,tier1_baseline,fly123,Stable-Elevated,OLS,31,-0.0231,0.011,0.0502,0.6774,0.72,25,,,
CL,tier2_freight,fly123,ALL_REGIMES,OLS,184,,,,,,168,0.4,10,1.1658
CL,tier2_freight,fly123,Deep-Backwardation,Lasso,56,-0.0363,0,0.1871,0.5,0.5,52,0.4444,9,0.9447
CL,tier2_freight,fly123,Easing-Backwardation,Lasso,50,0.1376,0.4949,0.1697,0.68,0.6739,46,0,1,2.3575
CL,tier2_freight,fly123,Stable-Elevated,Ridge,35,-0.0699,9e-04,0.1149,0.4857,0.4828,29,,,
CL,tier2_freight,fly123,Warm-Up,Ridge,29,-0.1565,7e-04,0.0671,0.6897,0.6786,28,,,
CL,tier2_physical,fly123,ALL_REGIMES,OLS,184,,,,,,168,0.5,10,0.9048
CL,tier2_physical,fly123,Deep-Backwardation,Lasso,56,-0.0296,0,0.1871,0.5,0.5,52,0.4444,9,0.9447
CL,tier2_physical,fly123,Easing-Backwardation,Lasso,50,-0.1167,0,0.2387,0.62,0.6304,46,1,1,0.3941
CL,tier2_physical,fly123,Stable-Elevated,Ridge,35,-0.0497,7e-04,0.1149,0.4857,0.4828,29,,,
CL,tier2_physical,fly123,Warm-Up,Ridge,29,-0.0555,5e-04,0.0671,0.6897,0.6786,28,,,
CL,tier3_full,fly123,ALL_REGIMES,Lasso,206,-0.1186,0,0.1703,0.5485,0.5556,189,0.7,10,0.848
CL,tier3_full,fly123,Deep-Backwardation,Lasso,56,-0.039,0.0539,0.182,0.6607,0.6538,52,0.6667,9,0.8938
CL,tier3_full,fly123,Easing-Backwardation,Lasso,50,0.0175,0.5143,0.1664,0.64,0.6304,46,1,1,0.0338
CL,tier3_full,fly123,Stable-Elevated,Ridge,35,-0.0412,0.0022,0.1148,0.4857,0.4828,29,,,
